ID	lat	lon
264	68.75	138.75
265	68.75	141.25
266	68.75	143.75
267	68.75	146.25
268	68.75	148.75
269	68.75	151.25
270	68.75	153.75
271	68.75	156.25
272	68.75	158.75
273	68.75	161.25
274	68.75	163.75
275	68.75	166.25
276	68.75	168.75
277	68.75	171.25
278	68.75	173.75
279	68.75	176.25
280	68.75	178.75
281	66.25	-178.75
282	66.25	-176.25
283	66.25	-173.75
284	66.25	-166.25
285	66.25	-163.75
286	66.25	-161.25
287	66.25	-158.75
288	66.25	-156.25
289	66.25	-153.75
290	66.25	-151.25
291	66.25	-148.75
292	66.25	-146.25
293	66.25	-143.75
294	66.25	-141.25
295	66.25	-138.75
296	66.25	-136.25
297	66.25	-133.75
298	66.25	-131.25
299	66.25	-128.75
300	66.25	-126.25
301	66.25	-123.75
302	66.25	-121.25
303	66.25	-118.75
304	66.25	-116.25
305	66.25	-113.75
306	66.25	-111.25
307	66.25	-108.75
308	66.25	-106.25
309	66.25	-103.75
310	66.25	-101.25
311	66.25	-98.75
312	66.25	-96.25
313	66.25	-93.75
314	66.25	-91.25
315	66.25	-88.75
316	66.25	-73.75
317	66.25	-71.25
318	66.25	-68.75
319	66.25	-66.25
320	66.25	-63.75
321	66.25	-51.25
322	66.25	-48.75
323	66.25	-46.25
324	66.25	-43.75
325	66.25	-41.25
326	66.25	-38.75
327	66.25	-16.25
328	66.25	13.75
329	66.25	16.25
330	66.25	18.75
331	66.25	21.25
332	66.25	23.75
333	66.25	26.25
334	66.25	28.75
335	66.25	31.25
336	66.25	33.75
337	66.25	43.75
338	66.25	46.25
339	66.25	48.75
340	66.25	51.25
341	66.25	53.75
342	66.25	56.25
343	66.25	58.75
344	66.25	61.25
345	66.25	63.75
346	66.25	66.25
347	66.25	68.75
348	66.25	71.25
349	66.25	73.75
350	66.25	76.25
351	66.25	78.75
352	66.25	81.25
353	66.25	83.75
354	66.25	86.25
355	66.25	88.75
356	66.25	91.25
357	66.25	93.75
358	66.25	96.25
359	66.25	98.75
360	66.25	101.25
361	66.25	103.75
362	66.25	106.25
363	66.25	108.75
364	66.25	111.25
365	66.25	113.75
366	66.25	116.25
367	66.25	118.75
368	66.25	121.25
369	66.25	123.75
370	66.25	126.25
371	66.25	128.75
372	66.25	131.25
373	66.25	133.75
374	66.25	136.25
375	66.25	138.75
376	66.25	141.25
377	66.25	143.75
378	66.25	146.25
379	66.25	148.75
380	66.25	151.25
381	66.25	153.75
382	66.25	156.25
383	66.25	158.75
384	66.25	161.25
385	66.25	163.75
386	66.25	166.25
387	66.25	168.75
388	66.25	171.25
389	66.25	173.75
390	66.25	176.25
391	66.25	178.75
392	63.75	-161.25
393	63.75	-158.75
394	63.75	-156.25
395	63.75	-153.75
396	63.75	-151.25
397	63.75	-148.75
398	63.75	-146.25
399	63.75	-143.75
400	63.75	-141.25
401	63.75	-138.75
402	63.75	-136.25
403	63.75	-133.75
404	63.75	-131.25
405	63.75	-128.75
406	63.75	-126.25
407	63.75	-123.75
408	63.75	-121.25
409	63.75	-118.75
410	63.75	-116.25
411	63.75	-113.75
412	63.75	-111.25
413	63.75	-108.75
414	63.75	-106.25
415	63.75	-103.75
416	63.75	-101.25
417	63.75	-98.75
418	63.75	-96.25
419	63.75	-93.75
420	63.75	-91.25
421	63.75	-88.75
422	63.75	-86.25
423	63.75	-83.75
424	63.75	-71.25
425	63.75	-68.75
426	63.75	-51.25
427	63.75	-48.75
428	63.75	-46.25
429	63.75	-43.75
430	63.75	-41.25
431	63.75	-18.75
432	63.75	11.25
433	63.75	13.75
434	63.75	16.25
435	63.75	18.75
436	63.75	23.75
437	63.75	26.25
438	63.75	28.75
439	63.75	31.25
440	63.75	33.75
441	63.75	36.25
442	63.75	38.75
443	63.75	41.25
444	63.75	43.75
445	63.75	46.25
446	63.75	48.75
447	63.75	51.25
448	63.75	53.75
449	63.75	56.25
450	63.75	58.75
451	63.75	61.25
452	63.75	63.75
453	63.75	66.25
454	63.75	68.75
455	63.75	71.25
456	63.75	73.75
457	63.75	76.25
458	63.75	78.75
459	63.75	81.25
460	63.75	83.75
461	63.75	86.25
462	63.75	88.75
463	63.75	91.25
464	63.75	93.75
465	63.75	96.25
466	63.75	98.75
467	63.75	101.25
468	63.75	103.75
469	63.75	106.25
470	63.75	108.75
471	63.75	111.25
472	63.75	113.75
473	63.75	116.25
474	63.75	118.75
475	63.75	121.25
476	63.75	123.75
477	63.75	126.25
478	63.75	128.75
479	63.75	131.25
480	63.75	133.75
481	63.75	136.25
482	63.75	138.75
483	63.75	141.25
484	63.75	143.75
485	63.75	146.25
486	63.75	148.75
487	63.75	151.25
488	63.75	153.75
489	63.75	156.25
490	63.75	158.75
491	63.75	161.25
492	63.75	163.75
493	63.75	166.25
494	63.75	168.75
495	63.75	171.25
496	63.75	173.75
497	63.75	176.25
498	63.75	178.75
499	61.25	-163.75
500	61.25	-161.25
501	61.25	-158.75
502	61.25	-156.25
503	61.25	-153.75
504	61.25	-151.25
505	61.25	-148.75
506	61.25	-146.25
507	61.25	-143.75
508	61.25	-141.25
509	61.25	-138.75
510	61.25	-136.25
511	61.25	-133.75
512	61.25	-131.25
513	61.25	-128.75
514	61.25	-126.25
515	61.25	-123.75
516	61.25	-121.25
517	61.25	-118.75
518	61.25	-116.25
519	61.25	-113.75
520	61.25	-111.25
521	61.25	-108.75
522	61.25	-106.25
523	61.25	-103.75
524	61.25	-101.25
525	61.25	-98.75
526	61.25	-96.25
527	61.25	-76.25
528	61.25	-73.75
529	61.25	-71.25
530	61.25	-46.25
531	61.25	-43.75
532	61.25	6.25
533	61.25	8.75
534	61.25	11.25
535	61.25	13.75
536	61.25	16.25
537	61.25	23.75
538	61.25	26.25
539	61.25	28.75
540	61.25	31.25
541	61.25	33.75
542	61.25	36.25
543	61.25	38.75
544	61.25	41.25
545	61.25	43.75
546	61.25	46.25
547	61.25	48.75
548	61.25	51.25
549	61.25	53.75
550	61.25	56.25
551	61.25	58.75
552	61.25	61.25
553	61.25	63.75
554	61.25	66.25
555	61.25	68.75
556	61.25	71.25
557	61.25	73.75
558	61.25	76.25
559	61.25	78.75
560	61.25	81.25
561	61.25	83.75
562	61.25	86.25
563	61.25	88.75
564	61.25	91.25
565	61.25	93.75
566	61.25	96.25
567	61.25	98.75
568	61.25	101.25
569	61.25	103.75
570	61.25	106.25
571	61.25	108.75
572	61.25	111.25
573	61.25	113.75
574	61.25	116.25
575	61.25	118.75
576	61.25	121.25
577	61.25	123.75
578	61.25	126.25
579	61.25	128.75
580	61.25	131.25
581	61.25	133.75
582	61.25	136.25
583	61.25	138.75
584	61.25	141.25
585	61.25	143.75
586	61.25	146.25
587	61.25	148.75
588	61.25	151.25
589	61.25	153.75
590	61.25	156.25
591	61.25	163.75
592	61.25	166.25
593	61.25	168.75
594	61.25	171.25
595	58.75	-161.25
596	58.75	-158.75
597	58.75	-156.25
598	58.75	-153.75
599	58.75	-136.25
600	58.75	-133.75
601	58.75	-131.25
602	58.75	-128.75
603	58.75	-126.25
604	58.75	-123.75
605	58.75	-121.25
606	58.75	-118.75
607	58.75	-116.25
608	58.75	-113.75
609	58.75	-111.25
610	58.75	-108.75
611	58.75	-106.25
612	58.75	-103.75
613	58.75	-101.25
614	58.75	-98.75
615	58.75	-96.25
616	58.75	-76.25
617	58.75	-73.75
618	58.75	-71.25
619	58.75	-66.25
620	58.75	-63.75
621	58.75	6.25
622	58.75	8.75
623	58.75	13.75
624	58.75	16.25
625	58.75	26.25
626	58.75	28.75
627	58.75	31.25
628	58.75	33.75
629	58.75	36.25
630	58.75	38.75
631	58.75	41.25
632	58.75	43.75
633	58.75	46.25
634	58.75	48.75
635	58.75	51.25
636	58.75	53.75
637	58.75	56.25
638	58.75	58.75
639	58.75	61.25
640	58.75	63.75
641	58.75	66.25
642	58.75	68.75
643	58.75	71.25
644	58.75	73.75
645	58.75	76.25
646	58.75	78.75
647	58.75	81.25
648	58.75	83.75
649	58.75	86.25
650	58.75	88.75
651	58.75	91.25
652	58.75	93.75
653	58.75	96.25
654	58.75	98.75
655	58.75	101.25
656	58.75	103.75
657	58.75	106.25
658	58.75	108.75
659	58.75	111.25
660	58.75	113.75
661	58.75	116.25
662	58.75	118.75
663	58.75	121.25
664	58.75	123.75
665	58.75	126.25
666	58.75	128.75
667	58.75	131.25
668	58.75	133.75
669	58.75	136.25
670	58.75	138.75
671	58.75	141.25
672	58.75	161.25
673	56.25	-131.25
674	56.25	-128.75
675	56.25	-126.25
676	56.25	-123.75
677	56.25	-121.25
678	56.25	-118.75
679	56.25	-116.25
680	56.25	-113.75
681	56.25	-111.25
682	56.25	-108.75
683	56.25	-106.25
684	56.25	-103.75
685	56.25	-101.25
686	56.25	-98.75
687	56.25	-96.25
688	56.25	-93.75
689	56.25	-91.25
690	56.25	-88.75
691	56.25	-76.25
692	56.25	-73.75
693	56.25	-71.25
694	56.25	-68.75
695	56.25	-66.25
696	56.25	-63.75
697	56.25	-6.25
698	56.25	-3.75
699	56.25	8.75
700	56.25	11.25
701	56.25	13.75
702	56.25	23.75
703	56.25	26.25
704	56.25	28.75
705	56.25	31.25
706	56.25	33.75
707	56.25	36.25
708	56.25	38.75
709	56.25	41.25
710	56.25	43.75
711	56.25	46.25
712	56.25	48.75
713	56.25	51.25
714	56.25	53.75
715	56.25	56.25
716	56.25	58.75
717	56.25	61.25
718	56.25	63.75
719	56.25	66.25
720	56.25	68.75
721	56.25	71.25
722	56.25	73.75
723	56.25	76.25
724	56.25	78.75
725	56.25	81.25
726	56.25	83.75
727	56.25	86.25
728	56.25	88.75
729	56.25	91.25
730	56.25	93.75
731	56.25	96.25
732	56.25	98.75
733	56.25	101.25
734	56.25	103.75
735	56.25	106.25
736	56.25	108.75
737	56.25	111.25
738	56.25	113.75
739	56.25	116.25
740	56.25	118.75
741	56.25	121.25
742	56.25	123.75
743	56.25	126.25
744	56.25	128.75
745	56.25	131.25
746	56.25	133.75
747	56.25	136.25
748	56.25	156.25
749	56.25	158.75
750	56.25	161.25
751	53.75	-128.75
752	53.75	-126.25
753	53.75	-123.75
754	53.75	-121.25
755	53.75	-118.75
756	53.75	-116.25
757	53.75	-113.75
758	53.75	-111.25
759	53.75	-108.75
760	53.75	-106.25
761	53.75	-103.75
762	53.75	-101.25
763	53.75	-98.75
764	53.75	-96.25
765	53.75	-93.75
766	53.75	-91.25
767	53.75	-88.75
768	53.75	-86.25
769	53.75	-83.75
770	53.75	-76.25
771	53.75	-73.75
772	53.75	-71.25
773	53.75	-68.75
774	53.75	-66.25
775	53.75	-63.75
776	53.75	-61.25
777	53.75	-58.75
778	53.75	-8.75
779	53.75	-6.25
780	53.75	-3.75
781	53.75	-1.25
782	53.75	11.25
783	53.75	13.75
784	53.75	16.25
785	53.75	18.75
786	53.75	21.25
787	53.75	23.75
788	53.75	26.25
789	53.75	28.75
790	53.75	31.25
791	53.75	33.75
792	53.75	36.25
793	53.75	38.75
794	53.75	41.25
795	53.75	43.75
796	53.75	46.25
797	53.75	48.75
798	53.75	51.25
799	53.75	53.75
800	53.75	56.25
801	53.75	58.75
802	53.75	61.25
803	53.75	63.75
804	53.75	66.25
805	53.75	68.75
806	53.75	71.25
807	53.75	73.75
808	53.75	76.25
809	53.75	78.75
810	53.75	81.25
811	53.75	83.75
812	53.75	86.25
813	53.75	88.75
814	53.75	91.25
815	53.75	93.75
816	53.75	96.25
817	53.75	98.75
818	53.75	101.25
819	53.75	103.75
820	53.75	106.25
821	53.75	108.75
822	53.75	111.25
823	53.75	113.75
824	53.75	116.25
825	53.75	118.75
826	53.75	121.25
827	53.75	123.75
828	53.75	126.25
829	53.75	128.75
830	53.75	131.25
831	53.75	133.75
832	53.75	136.25
833	53.75	138.75
834	53.75	158.75
835	51.25	-126.25
836	51.25	-123.75
837	51.25	-121.25
838	51.25	-118.75
839	51.25	-116.25
840	51.25	-113.75
841	51.25	-111.25
842	51.25	-108.75
843	51.25	-106.25
844	51.25	-103.75
845	51.25	-101.25
846	51.25	-98.75
847	51.25	-96.25
848	51.25	-93.75
849	51.25	-91.25
850	51.25	-88.75
851	51.25	-86.25
852	51.25	-83.75
853	51.25	-81.25
854	51.25	-78.75
855	51.25	-76.25
856	51.25	-73.75
857	51.25	-71.25
858	51.25	-68.75
859	51.25	-66.25
860	51.25	-63.75
861	51.25	-61.25
862	51.25	-58.75
863	51.25	-56.25
864	51.25	-3.75
865	51.25	-1.25
866	51.25	1.25
867	51.25	3.75
868	51.25	6.25
869	51.25	8.75
870	51.25	11.25
871	51.25	13.75
872	51.25	16.25
873	51.25	18.75
874	51.25	21.25
875	51.25	23.75
876	51.25	26.25
877	51.25	28.75
878	51.25	31.25
879	51.25	33.75
880	51.25	36.25
881	51.25	38.75
882	51.25	41.25
883	51.25	43.75
